index,active_qubit_count_per_index,avg_toffoli_gates_per_run_in_bin,phase_name
4198675,984,2827.516844,tlm_inverse
4214620,817,2842.787345,tlm_inverse
4230564,836,2831.634973,tlm_inverse
4246509,1009,2798.873670,tlm_inverse
4262453,814,2896.040780,tlm_inverse
4278398,1013,2825.155363,tlm_inverse
4294343,852,2956.914118,tlm_inverse
4310287,810,2765.670213,tlm_inverse
4326232,1005,2902.884309,tlm_inverse
4342177,850,2970.535572,tlm_inverse
4358121,841,2862.315492,tlm_inverse
4374066,805,2837.740470,tlm_inverse
4390010,1029,2972.895058,tlm_inverse
4405955,996,2865.771609,tlm_inverse
4421900,941,2975.920878,tlm_inverse
4437844,903,2965.494792,tlm_inverse
4453789,884,2925.947695,tlm_inverse
4469734,884,2937.245013,tlm_inverse
4485678,904,2905.015847,tlm_inverse
4501623,943,2882.920878,tlm_inverse
4517567,1000,2999.770723,tlm_inverse
4533512,1047,2856.790780,tlm_inverse
4549457,798,3022.429300,tlm_inverse
4565401,787,3037.396941,tlm_inverse
4581346,794,3046.072473,tlm_inverse
4597290,773,3078.316046,tlm_inverse
4605478,512,0.000000,tlm_coord_add3x
4605910,512,0.000000,tlm_coord_add3x
4606342,512,0.000000,tlm_coord_add3x
4606774,512,0.000000,tlm_coord_add3x
4607206,512,0.000000,tlm_coord_add3x
4607638,512,0.000000,tlm_coord_add3x
4608070,512,0.000000,tlm_coord_add3x
4608502,512,0.000000,tlm_coord_add3x
4608934,512,0.000000,tlm_coord_add3x
4609366,512,0.000000,tlm_coord_add3x
4609798,512,0.000000,tlm_coord_add3x
4610230,512,0.000000,tlm_coord_add3x
4610662,512,0.000000,tlm_coord_add3x
4611094,512,0.000000,tlm_coord_add3x
4611525,512,0.000000,tlm_coord_add3x
4611957,512,0.000000,tlm_coord_add3x
4612389,512,0.000000,tlm_coord_add3x
4612821,512,0.000000,tlm_coord_add3x
4613253,512,0.000000,tlm_coord_add3x
4613685,512,0.000000,tlm_coord_add3x
4614117,512,0.000000,tlm_coord_add3x
4614549,512,0.000000,tlm_coord_add3x
4614981,512,0.000000,tlm_coord_add3x
4615413,512,0.000000,tlm_coord_add3x
4615845,512,0.000000,tlm_coord_add3x
4616277,512,0.000000,tlm_coord_add3x
4616709,512,0.000000,tlm_coord_add3x
4617141,512,0.000000,tlm_coord_add3x
4617572,512,0.000000,tlm_coord_add3x
4618004,512,0.000000,tlm_coord_add3x
4618436,512,0.000000,tlm_coord_add3x
4618868,512,0.000000,tlm_coord_add3x
4619300,512,0.000000,tlm_coord_add3x
4619732,512,0.000000,tlm_coord_add3x
4620164,512,0.000000,tlm_coord_add3x
4620596,512,0.000000,tlm_coord_add3x
4621028,512,0.000000,tlm_coord_add3x
4621460,512,0.000000,tlm_coord_add3x
4621892,512,0.000000,tlm_coord_add3x
4622324,512,0.000000,tlm_coord_add3x
4622756,512,0.000000,tlm_coord_add3x
4623188,512,0.000000,tlm_coord_add3x
4623619,512,0.000000,tlm_coord_add3x
4624051,512,0.000000,tlm_coord_add3x
4624483,512,0.000000,tlm_coord_add3x
4624915,512,0.000000,tlm_coord_add3x
4625347,512,0.000000,tlm_coord_add3x
4625779,512,0.000000,tlm_coord_add3x
4626211,512,0.000000,tlm_coord_add3x
4626643,512,0.000000,tlm_coord_add3x
4627075,512,0.000000,tlm_coord_add3x
4627507,512,0.000000,tlm_coord_add3x
4627939,512,0.000000,tlm_coord_add3x
4628371,512,0.000000,tlm_coord_add3x
4628803,512,0.000000,tlm_coord_add3x
4629234,512,0.000000,tlm_coord_add3x
4629666,512,0.000000,tlm_coord_add3x
